bcc Sb -- Hedin-Lundqvist LDA                                                   
INPUT  IT=231 SPIN=1 NTYPE=  2
 -3.000000  3.000000  3.000000
  3.000000 -3.000000  3.000000
  3.000000  3.000000 -3.000000
    1  435  1.700000  0.030000    1
  0.000000  0.000000  0.000000
 0.5892059924108D+00 0.5549290752487D+00 0.5204568917069D+00 0.4858522752189D+00
 0.4511850706787D+00 0.4165330821079D+00 0.3819826623153D+00 0.3476299143557D+00
 0.3135814414783D+00 0.2799558147319D+00 0.2468844664773D+00 0.2145134294666D+00
 0.1830043925813D+00 0.1525368425503D+00 0.1233094943559D+00
  300
-0.1140362299391D+01-0.9463456080560D-32-0.8537715784370D+01-0.1462114498657D-17
-0.3193723195367D+01 0.4173260005567D-20-0.5560147255903D+01 0.2650010758202D-17
-0.2872382572263D+01-0.3921808241145D-20-0.2573212815181D+01-0.2414131142508D-17
-0.1047341985009D+01-0.8944905665641D-20-0.2754631054669D+01-0.5683950687084D-18
-0.4629964794657D+00 0.1254111655181D-19-0.7699235352010D+00 0.3252876519216D-17
-0.3791958543757D+00-0.1020437475799D-17-0.1190594251040D+01 0.1082578265786D-19
-0.4394795847302D+00-0.8265961368913D-18-0.7975630937418D+00-0.1459633941608D-19
-0.5069135916268D+00 0.2788229176469D-17-0.2502410515356D+00-0.1621161285651D-17
-0.2819488704240D+00-0.1691881510668D-17-0.1939970803411D+00-0.9725429332159D-20
-0.7575573158042D-01 0.5667737376615D-18-0.7483966674281D-01-0.1383693668966D-17
-0.2798828008982D+00-0.3202932523352D-19-0.6993283327937D-01 0.1711581951957D-19
-0.6892636457271D-01-0.1678655386992D-17-0.3393127794970D-01 0.2127326934184D-17
-0.2051569950071D+00 0.3749047943185D-19-0.2022661900583D-01 0.4204626349866D-18
-0.1530478103291D+00 0.1554746753569D-19 0.7855380005242D-02 0.2579086696949D-17
-0.3881452449024D-01-0.1351544652691D-19 0.2201826154771D-01-0.2481011085381D-19
 0.5485617408799D-02-0.4742114792437D-18 0.1140855844548D-01-0.8700750219825D-18
-0.8988843871770D-01-0.7237175087095D-20 0.1456958579465D-01 0.7876822756096D-18
 0.1438119540813D-01-0.6570423463641D-18 0.2929071727307D-01-0.1167817169200D-17
-0.1414148104584D+00-0.3105027138116D-19 0.1548905766785D-01-0.7396861744470D-18
 0.3001453294971D-01-0.1044626976100D-17 0.2996314569146D-01 0.9912682047453D-18
-0.1137622923040D-01 0.1429559551174D-19 0.1381309419201D-01-0.1558693051008D-18
 0.2760951195701D-01-0.2079626257678D-18 0.1402008745968D-01 0.1017037969938D-17
-0.3764202882087D-01-0.2540499079908D-19-0.3746585159689D-01 0.3974729866384D-19
 0.2497340469039D-01 0.5904657157877D-18-0.3106816169069D-01 0.2664084212531D-19
-0.1552583212057D-01-0.9254376067076D-20 0.2199652238289D-01-0.2807148323487D-18
 0.2205695224458D-01 0.1374089476393D-17 0.1104750528883D-01-0.5019020397074D-18
-0.2583098544372D-01-0.2022168452763D-19 0.1940571024328D-01-0.7504691059657D-18
-0.2160895492277D-01 0.8036246066421D-20 0.8453242426776D-02 0.4664951062557D-18
 0.8366699315150D-02-0.3578651105728D-18-0.3615048723797D-01 0.5697673652423D-20
 0.7479556544129D-02 0.9475507557925D-19 0.1488314208096D-01 0.2355818065134D-18
 0.1466809351078D-01-0.5224618811745D-18-0.1506700493015D-01-0.2072485764784D-19
 0.1305248098264D-01-0.2779330961670D-18 0.1300733608517D-01 0.6365602183364D-18
 0.6430302495842D-02-0.2997436158284D-18 0.1140647793485D-01 0.1177950426186D-18
 0.1126178806218D-01-0.4494660839337D-18-0.1055908257182D-01-0.5981102711320D-20
 0.9933164207705D-02 0.4321401314521D-18 0.9870392951547D-02-0.1698230016172D-18
 0.2487694363824D-02-0.1276642760056D-18-0.8838898088581D-02-0.8709672679496D-20
-0.2233117611439D-02 0.7499890016347D-20 0.4322835113492D-02-0.1986974521948D-18
 0.4250805657244D-02 0.3495757503604D-18-0.1482325210681D-01-0.1782337459301D-19
-0.7469732967231D-02 0.2310859016232D-19 0.7424100420763D-02-0.1685985370038D-18
 0.3708789479659D-02-0.1954270470720D-18-0.2070510802109D-02-0.4939762147622D-20
-0.6266944143307D-02 0.1772091183901D-19 0.6395796766026D-02 0.7651956099796D-20
 0.6348184895756D-02-0.3026490852568D-18 0.6330725636101D-02 0.4828243943769D-18
 0.2692562710214D-02 0.9763998289503D-19 0.2694944846096D-02-0.8753591974346D-19
 0.5372381345291D-02 0.2028296444643D-18-0.8939311534389D-02-0.1717120903432D-19
-0.4476484935030D-02 0.8932265337595D-20 0.2243870366370D-02 0.1673730271664D-18
 0.4476196194210D-02 0.2597618946534D-19-0.7631575203449D-02 0.1324231060281D-19
 0.3676242645093D-02-0.1310245366157D-18 0.3668832596104D-02 0.1337115131296D-18
 0.1857491155896D-02-0.1022186628285D-18 0.2965445227492D-02-0.6801911476086D-21
 0.2979019631017D-02 0.2274928270456D-18 0.3008767096546D-02-0.1517644410842D-18
-0.1416830490321D-02-0.3817366855647D-20 0.1171770690440D-02-0.8983663841144D-19
 0.1196954861030D-02-0.8269263386741D-19-0.2432916265216D-02 0.1855718580398D-20
-0.2447247756934D-02-0.6750940430121D-20 0.9097281430346D-03-0.1302701121344D-19
 0.1849276620896D-02 0.1573874672920D-18 0.1828686146498D-02-0.1419629163714D-18
 0.1871733454795D-02-0.1250260385085D-18-0.2113804826168D-02-0.6074046241546D-20
-0.2102722537356D-02-0.7880728275757D-21 0.1398106697852D-02 0.5469151572269D-19
 0.1437855807926D-02-0.5464121605437D-19-0.3619878503178D-02-0.1784599691621D-20
 0.1069653630651D-02-0.1858585930243D-19-0.1555823912050D-02-0.4700305840181D-20
-0.3839707800660D-03 0.2136216220954D-20 0.8129424917851D-03-0.6624887793261D-19
 0.8296329968166D-03-0.4936062914415D-19 0.8136847186838D-03 0.4237233159574D-19
 0.4149701832852D-03-0.4861610367705D-19 0.4184669808040D-03 0.7388041373570D-19
-0.1306175251159D-02 0.6855135011673D-20 0.3160697430975D-03 0.3610458326103D-19
 0.6361524128747D-03-0.7479558392380D-19 0.6313766113455D-03 0.6911566803880D-19
-0.2193958906793D-02-0.2250721075291D-20-0.1096304737722D-02 0.5504292102601D-20
 0.4997920924880D-03 0.2494209305034D-19 0.4955306766250D-03 0.9623540911617D-19
 0.4179927212225D-03 0.4620197038478D-19 0.4142151184083D-03-0.7945692323360D-21
-0.7293018960593D-03 0.3137320882136D-20 0.1859959504813D-03 0.5569400186178D-20
 0.3638269218617D-03-0.3161197106685D-19 0.1760106513348D-03 0.3103827909200D-19
 0.9338671169748D-04-0.1218240089043D-19-0.5612490079761D-03-0.2387786390172D-20
-0.1143681168065D-02 0.5013587088975D-20-0.5618959358483D-03-0.2150011305465D-20
 0.3495611949164D-03-0.1365131476175D-19 0.3386660064440D-03-0.4919192706114D-20
 0.1748237270681D-03-0.1895528464908D-19-0.8428688609907D-03-0.3450612202487D-20
 0.3414133625427D-03 0.7165138205731D-20 0.3167910606644D-03 0.3750508773728D-19
 0.1654171512141D-03-0.1677116289725D-19 0.1438792713143D-03-0.1434455150316D-19
-0.3000985613673D-03-0.9175630214421D-21 0.3358952328644D-03 0.1843329196205D-19
 0.3279568480790D-03-0.2530922516682D-19 0.2901308769618D-03-0.1990782770546D-19
-0.2078356176723D-03 0.1079983424737D-20 0.1674401734185D-03-0.8112802947919D-20
 0.3129997205757D-03 0.2285004722928D-19 0.1464539534545D-03-0.9961672736793D-20
-0.2284798460424D-03-0.1735185847697D-20-0.1230688400342D-03 0.3915661341385D-21
 0.3183799375352D-03-0.4818240528783D-20 0.3243110521574D-03 0.1017392111576D-19
