bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=262 SPIN=1 NTYPE=  2
 -3.800000  3.800000  3.800000
  3.800000 -3.800000  3.800000
  3.800000  3.800000 -3.800000
    1  435  2.200000  0.030000    1
  0.000000  0.000000  0.000000
 0.1999574471872D+01 0.1999561512413D+01 0.1999548158280D+01 0.1999534397451D+01
 0.1999520217543D+01 0.1999505605792D+01 0.1999490549047D+01 0.1999475033754D+01
 0.1999459045951D+01 0.1999442571246D+01 0.1999425594811D+01 0.1999408101367D+01
 0.1999390075168D+01 0.1999371499989D+01 0.1999352359111D+01 0.1999332635307D+01
 0.1999312310824D+01 0.1999291367367D+01 0.1999269786088D+01 0.1999247547560D+01
 0.1999327112486D+01 0.1999443311228D+01 0.1999474780883D+01 0.1999489768884D+01
 0.1999496518778D+01 0.1999498069836D+01 0.1999495925573D+01 0.1999490955496D+01
 0.1999483714959D+01 0.1999474584095D+01 0.1999463836670D+01 0.1999451677537D+01
 0.1999438264466D+01 0.1999423721570D+01 0.1999408147896D+01 0.1999391623124D+01
 0.1999374211454D+01 0.1999355964320D+01 0.1999336922327D+01 0.1999317116683D+01
 0.1999296570269D+01 0.1999275298476D+01 0.1999253309868D+01 0.1999230606743D+01
 0.1999207185602D+01 0.1999183037570D+01 0.1999158148775D+01 0.1999132500683D+01
 0.1999106070923D+01 0.1999078835648D+01 0.1999050770289D+01 0.1999021849524D+01
 0.1998992047261D+01 0.1998961336606D+01 0.1998929689849D+01 0.1998897078429D+01
 0.1998863472913D+01 0.1998828842970D+01 0.1998793157340D+01 0.1998756383809D+01
 0.1998718489176D+01 0.1998679439225D+01 0.1998639198697D+01 0.1998597731249D+01
 0.1998554999431D+01 0.1998510964645D+01 0.1998465587111D+01 0.1998418825833D+01
 0.1998370638561D+01 0.1998320981750D+01 0.1998269810521D+01 0.1998217078623D+01
 0.1998162738386D+01 0.1998106740682D+01 0.1998049034876D+01 0.1997989568783D+01
 0.1997928288616D+01 0.1997865138941D+01 0.1997800062625D+01 0.1997733000780D+01
 0.1997663892714D+01 0.1997592675873D+01 0.1997519285781D+01 0.1997443655986D+01
 0.1997365717994D+01 0.1997285401209D+01 0.1997202632863D+01 0.1997117337957D+01
 0.1997029439184D+01 0.1996938856862D+01 0.1996845508857D+01 0.1996749310513D+01
 0.1996650174564D+01 0.1996548011062D+01 0.1996442727289D+01 0.1996334227673D+01
 0.1996222413695D+01 0.1996107183802D+01 0.1995988433312D+01 0.1995866054314D+01
 0.1995739935567D+01 0.1995609962399D+01 0.1995476016598D+01 0.1995337976300D+01
 0.1995195715878D+01 0.1995049105821D+01 0.1994898012616D+01 0.1994742298615D+01
 0.1994581821917D+01 0.1994416436222D+01 0.1994245990701D+01 0.1994070329852D+01
 0.1993889293348D+01 0.1993702715893D+01 0.1993510427057D+01 0.1993312251120D+01
 0.1993108006901D+01 0.1992897507590D+01 0.1992680560561D+01 0.1992456967198D+01
 0.1992226522696D+01 0.1991989015872D+01 0.1991744228955D+01 0.1991491937381D+01
 0.1991231909576D+01 0.1990963906730D+01 0.1990687682568D+01 0.1990402983109D+01
 0.1990109546423D+01 0.1989807102372D+01 0.1989495372348D+01 0.1989174069002D+01
 0.1988842895961D+01 0.1988501547538D+01 0.1988149708431D+01 0.1987787053412D+01
 0.1987413247008D+01 0.1987027943164D+01 0.1986630784905D+01 0.1986221403981D+01
 0.1985799420494D+01 0.1985364442524D+01 0.1984916065738D+01 0.1984453872978D+01
 0.1983977433846D+01 0.1983486304268D+01 0.1982980026046D+01 0.1982458126395D+01
 0.1981920117457D+01 0.1981365495812D+01 0.1980793741957D+01 0.1980204319777D+01
 0.1979596675994D+01 0.1978970239599D+01 0.1978324421259D+01 0.1977658612713D+01
 0.1976972186135D+01 0.1976264493482D+01 0.1975534865821D+01 0.1974782612629D+01
 0.1974007021065D+01 0.1973207355224D+01 0.1972382855362D+01 0.1971532737091D+01
 0.1970656190546D+01 0.1969752379532D+01 0.1968820440627D+01 0.1967859482261D+01
 0.1966868583768D+01 0.1965846794391D+01 0.1964793132264D+01 0.1963706583357D+01
 0.1962586100375D+01 0.1961430601631D+01 0.1960238969872D+01 0.1959010051064D+01
 0.1957742653141D+01 0.1956435544703D+01 0.1955087453676D+01 0.1953697065920D+01
 0.1952263023792D+01 0.1950783924666D+01 0.1949258319386D+01 0.1947684710690D+01
 0.1946061551531D+01 0.1944387243494D+01 0.1942660134886D+01 0.1940878519026D+01
 0.1939040632352D+01 0.1937144652492D+01 0.1935188696272D+01 0.1933170817665D+01
 0.1931089005666D+01 0.1928941182115D+01 0.1926725199440D+01 0.1924438838344D+01
 0.1922079805418D+01 0.1919645730681D+01 0.1917134165060D+01 0.1914542577791D+01
 0.1911868353753D+01 0.1909108790735D+01 0.1906261096626D+01 0.1903322386541D+01
 0.1900289679873D+01 0.1897159897286D+01 0.1893929857632D+01 0.1890596274808D+01
 0.1887155754556D+01 0.1883604791199D+01 0.1879939764319D+01 0.1876156935396D+01
 0.1872252444387D+01 0.1868222306276D+01 0.1864062407581D+01 0.1859768502845D+01
 0.1855336211094D+01 0.1850761012304D+01 0.1846038243852D+01 0.1841163096992D+01
 0.1836130613354D+01 0.1830935681480D+01 0.1825573033423D+01 0.1820037241412D+01
 0.1814322714617D+01 0.1808423696027D+01 0.1802334259461D+01 0.1796048306750D+01
 0.1789559565100D+01 0.1782861584684D+01 0.1775947736477D+01 0.1768811210392D+01
 0.1761445013723D+01 0.1753841969974D+01 0.1745994718082D+01 0.1737895712107D+01
 0.1729537221421D+01 0.1720911331470D+01 0.1712009945142D+01 0.1702824784824D+01
 0.1693347395201D+01 0.1683569146869D+01 0.1673481240839D+01 0.1663074714001D+01
 0.1652340445637D+01 0.1641269165071D+01 0.1629851460537D+01 0.1618077789363D+01
 0.1605938489583D+01 0.1593423793058D+01 0.1580523840235D+01 0.1567228696643D+01
 0.1553528371255D+01 0.1539412836826D+01 0.1524872052340D+01 0.1509895987699D+01
 0.1494474650782D+01 0.1478598117022D+01 0.1462256561637D+01 0.1445440294674D+01
 0.1428139799011D+01 0.1410345771486D+01 0.1392049167307D+01 0.1373241247927D+01
 0.1353913632552D+01 0.1334058353478D+01 0.1313667915441D+01 0.1292735359193D+01
 0.1271254329517D+01 0.1249219147923D+01 0.1226624890249D+01 0.1203467469467D+01
 0.1179743723968D+01 0.1155451511659D+01 0.1130589810241D+01 0.1105158824085D+01
 0.1079160098185D+01 0.1052596639744D+01 0.1025473048045D+01 0.9977956533757D+00
 0.9695726659131D+00 0.9408143356013D+00 0.9115331242788D+00 0.8817438914516D+00
 0.8514640953218D+00 0.8207140108309D+00 0.7895169667986D+00 0.7578996042185D+00
 0.7258921582468D+00 0.6935287664916D+00 0.6608478070232D+00 0.6278922697989D+00
 0.5947101665644D+00 0.5613549858128D+00 0.5278862006264D+00 0.4943698389020D+00
 0.4608791209821D+00 0.4274937790651D+00 0.3942979968195D+00 0.3613804341661D+00
 0.3288346449535D+00 0.2967595316500D+00 0.2652598436452D+00
  348
-0.8022755583231D+00 0.1198205366866D-32-0.5793802609465D+01-0.2106427593812D-18
-0.2386931507922D+01 0.4485515573425D-19-0.4185729312277D+01 0.4305766366928D-18
-0.2262274266176D+01-0.4111215433759D-19-0.2046693142457D+01-0.4387900327269D-18
-0.8638362104605D+00-0.1006215311062D-18-0.2341664268524D+01-0.1206399564442D-18
-0.3916630084460D+00 0.1381995385527D-18-0.6851592645352D+00 0.4803792521444D-18
-0.3321147636271D+00-0.6865564562091D-19-0.1027591400408D+01 0.1265486573340D-18
-0.3905845018150D+00 0.5701140174130D-19-0.6922613244573D+00-0.1742339819676D-18
-0.4584135889158D+00 0.5127484566783D-18-0.2269906877009D+00-0.4757297806866D-18
-0.2542017497192D+00-0.5881366838483D-18-0.1711264746436D+00-0.9595618966563D-19
-0.7015775619073D-01 0.2339465926544D-18-0.6877486904254D-01-0.1028587101783D-18
-0.2491777670331D+00-0.3785559196518D-18-0.6188422954576D-01 0.1988338842630D-18
-0.6599198268510D-01-0.3691403718767D-19-0.3167347484977D-01 0.2547823170196D-18
-0.1844150920943D+00 0.4420113623873D-18-0.2303810240876D-01-0.3591070768596D-19
-0.1404087754647D+00 0.1734293983795D-18 0.1113528895212D-02 0.4567493427153D-18
-0.3623574379362D-01-0.1781288512416D-18 0.1427350909203D-01 0.2071689757467D-18
 0.3641530065049D-02 0.4641157292269D-19 0.7224159817900D-02-0.4112169264469D-18
-0.8579120131433D-01-0.5002841446286D-19 0.1012901812632D-01 0.2322072958083D-18
 0.1024534229947D-01 0.1121073328406D-18 0.2020924116778D-01-0.6677679532420D-18
-0.1381033491560D+00-0.3877027705819D-18 0.1133877278727D-01-0.1371282233278D-18
 0.2227084610473D-01-0.2006083246084D-18 0.2178196296641D-01 0.2145560247162D-18
-0.1168331166831D-01 0.1834295878638D-18 0.1028104237368D-01 0.1394628760877D-18
 0.2045659895618D-01-0.3176641659940D-18 0.9904982502310D-02 0.4185940047810D-19
-0.3915237768813D-01-0.3673872609109D-18-0.3911125588266D-01 0.5088313416200D-18
 0.1844554986572D-01 0.3061750762016D-18-0.3301692291497D-01 0.3284207044606D-18
-0.1650090896070D-01-0.8181304481602D-19 0.1639176385461D-01-0.4825350249990D-19
 0.1598216677778D-01 0.1914339820493D-18 0.8299706770181D-02 0.7414371760329D-19
-0.2803926081607D-01-0.2353797919150D-18 0.1449588861331D-01 0.1422180399644D-18
-0.2398558168552D-01 0.1213252171566D-18 0.6081050742478D-02 0.1309550929662D-18
 0.6213726893689D-02-0.2609776626279D-18-0.4103533090025D-01 0.4916150475309D-19
